date,portfolio_value,cash
2015-03-03,100000.0,100000.0
2015-03-04,100000.0,100000.0
2015-03-05,100000.0,100000.0
2015-03-09,100000.0,100000.0
2015-03-10,100000.0,100000.0
2015-03-11,100000.0,100000.0
2015-03-12,100000.0,100000.0
2015-03-13,100000.0,100000.0
2015-03-16,100000.0,100000.0
2015-03-17,100000.0,100000.0
2015-03-18,100000.0,100000.0
2015-03-19,100000.0,100000.0
2015-03-20,100000.0,100000.0
2015-03-23,100000.0,100000.0
2015-03-24,100000.0,100000.0
2015-03-25,100000.0,100000.0
2015-03-26,100000.0,100000.0
2015-03-27,100000.0,100000.0
2015-03-30,100000.0,100000.0
2015-03-31,100000.0,41290.88603973389
2015-04-01,100555.90702819824,100555.90702819824
2015-04-06,100555.90702819824,42146.662200927734
2015-04-07,100992.37399291992,100992.37399291992
2015-04-08,100992.37399291992,42369.12484741211
2015-04-09,100604.16110229492,69123.46481323242
2015-04-10,100601.28610229492,44279.53399658203
2015-04-13,101677.00984191895,44279.53399658203
2015-04-15,101088.48722839355,44279.53399658203
2015-04-16,100252.25959777832,44279.53399658203
2015-04-17,99591.21014404297,44279.53399658203
2015-04-20,99081.66015625,44279.53399658203
2015-04-21,99331.63507080078,54545.44662475586
2015-04-22,99312.03489685059,43777.70150756836
2015-04-23,99370.72145080566,54347.4870300293
2015-04-24,98495.21145629883,52797.09509277344
2015-04-27,97977.9799041748,55252.3251953125
2015-04-28,98624.99322509766,52864.375549316406
2015-04-29,99570.36744689941,55843.35659790039
2015-04-30,99555.27583312988,68079.02980041504
2015-05-04,100924.59223937988,61622.10998535156
2015-05-05,101330.65493774414,68877.33964538574
2015-05-06,99654.53373718262,61357.27851867676
2015-05-07,99172.41062927246,68101.71644592285
2015-05-08,100050.7608795166,61719.632736206055
2015-05-11,100416.99562072754,68192.83963012695
2015-05-12,99007.48854064941,61285.93754577637
2015-05-13,100373.96838378906,57591.450103759766
2015-05-14,100642.25242614746,60808.416427612305
2015-05-15,100664.06234741211,57527.30892944336
2015-05-18,101689.9899597168,60790.05392456055
2015-05-19,101743.20420837402,68123.58622741699
2015-05-20,101953.86000061035,44617.67735290527
2015-05-21,102228.1141204834,57434.77342224121
2015-05-22,102540.70022583008,46524.371810913086
2015-05-25,101419.19647216797,57343.786849975586
2015-05-26,101206.55009460449,46657.13829040527
2015-05-27,101040.67593383789,46657.13829040527
2015-05-28,100004.98461914062,57140.72654724121
2015-05-29,100212.03622436523,57635.381759643555
2015-06-01,98757.64274597168,54875.87211608887
2015-06-02,97723.31008911133,44592.99528503418
2015-06-03,91665.41078948975,91665.41078948975
2015-06-04,91665.41078948975,38490.43601989746
2015-06-05,91003.14688873291,91003.14688873291
2015-06-08,91003.14688873291,38192.99792480469
2015-06-09,91556.32243728638,91556.32243728638
2015-06-10,91556.32243728638,38003.8462638855
2015-06-11,90122.24382400513,90122.24382400513
2015-06-12,90122.24382400513,37641.05666351318
2015-06-15,90912.04104995728,90912.04104995728
2015-06-16,90912.04104995728,37629.38111114502
2015-06-17,92235.45363998413,92235.45363998413
2015-06-18,92235.45363998413,38297.13986206055
2015-06-19,92411.83179473877,92411.83179473877
2015-06-22,92411.83179473877,38676.17411804199
2015-06-23,93081.55941772461,93081.55941772461
2015-06-24,93081.55941772461,38364.872634887695
2015-06-25,93234.54681396484,74265.21868896484
2015-06-26,93075.57025146484,38226.1431388855
2015-06-29,91936.95835876465,52596.79716491699
2015-06-30,92379.95994567871,42122.2061958313
2015-07-01,92953.47096252441,52689.034255981445
2015-07-02,93514.00856018066,42162.56035232544
2015-07-03,94211.34384536743,52654.445346832275
2015-07-06,94615.71817398071,42144.880657196045
2015-07-07,95324.33934402466,52804.994190216064
2015-07-08,95160.84794998169,42262.63556289673
2015-07-09,94598.05505752563,52746.067569732666
2015-07-10,94363.78650283813,42231.94380950928
2015-07-13,95333.65093612671,52869.28051376343
2015-07-14,95465.7719078064,42332.81437301636
2015-07-15,96078.80614089966,52833.92296218872
2015-07-16,96535.82689285278,42298.993591308594
2015-07-17,95749.63736724854,52786.57370758057
2015-07-20,95956.29795074463,42240.72846984863
2015-07-21,94552.59029388428,52396.87422943115
2015-07-22,95170.11428070068,41918.38832092285
2015-07-23,95369.61070251465,52359.826583862305
2015-07-24,94680.71250915527,41907.064796447754
2015-07-27,93186.91348648071,51833.209506988525
2015-07-28,92841.79703140259,56171.19250869751
2015-07-29,93408.46083450317,69306.4659614563
2015-07-30,93636.78633499146,51422.96608352661
2015-07-31,94303.51362991333,70704.53163528442
2015-08-03,94127.9870185852,51450.763233184814
2015-08-04,96369.64445114136,72581.40671920776
2015-08-05,96731.87003707886,52763.07929611206
2015-08-06,96036.04746627808,56212.013469696045
2015-08-07,95005.47006607056,52721.346645355225
2015-08-10,95112.25175857544,56222.25666427612
2015-08-11,94913.66232681274,52662.38904953003
2015-08-12,94064.78435134888,55279.667613983154
2015-08-13,93413.76371383667,52403.613903045654
2015-08-14,94428.01099777222,55513.45136642456
2015-08-17,94429.62084579468,52539.41942977905
2015-08-18,94139.79763412476,55344.144512176514
2015-08-19,94126.33678817749,52624.78907394409
2015-08-20,93035.48793411255,55299.47904586792
2015-08-21,92863.32955551147,63094.35291671753
2015-08-24,91051.29722213745,68619.55256652832
2015-08-25,91359.62055587769,58548.04426193237
2015-08-26,90694.85731124878,69912.40296554565
2015-08-27,91810.17609786987,58955.79365158081
2015-08-28,91616.4591178894,71231.46249008179
2015-08-31,91243.00298690796,58535.50701522827
2015-09-01,90639.3363609314,69827.28997421265
2015-09-02,90219.97759628296,57844.03130722046
2015-09-03,91265.45196151733,70603.64877319336
2015-09-04,90795.19585037231,58732.556842803955
2015-09-07,89944.29005813599,69337.72386550903
2015-09-08,90060.72829055786,57922.77743911743
2015-09-09,90972.73749160767,70405.64135360718
2015-09-10,90711.85676956177,58196.52034378052
2015-09-11,90600.79915237427,70209.38775634766
2015-09-14,91653.6946144104,59021.6231880188
2015-09-15,90983.07983779907,70011.33559799194
2015-09-16,91089.28708648682,58861.707862854004
2015-09-18,91406.96820831299,70308.52767181396
2015-09-21,91644.77058410645,59152.60469055176
2015-09-22,90965.6007232666,55385.89047241211
2015-09-23,91184.54521179199,53525.680267333984
2015-09-24,91306.99849700928,71167.52206420898
2015-09-28,90987.08987426758,52673.128341674805
2015-09-29,91028.45701599121,55718.75866699219
2015-09-30,92102.96060180664,52806.032653808594
2015-10-01,92291.13921356201,56023.47961425781
2015-10-05,93293.19876098633,53293.80383300781
2015-10-06,93481.07585144043,56129.00631713867
2015-10-07,94267.13557434082,53814.134704589844
2015-10-08,94407.5850982666,57227.00421142578
2015-10-09,93827.91939544678,53704.1184387207
2015-10-12,94246.08567810059,56486.773345947266
2015-10-13,94357.70651245117,53823.913970947266
2015-10-14,94266.75059509277,43312.9889831543
2015-10-15,96118.44646453857,43312.9889831543
2015-10-16,96849.79222106934,43312.9889831543
2015-10-19,96274.05049133301,43312.9889831543
2015-10-20,96841.17179107666,43312.9889831543
2015-10-21,96518.07802581787,43312.9889831543
2015-10-23,96700.92542266846,43312.9889831543
2015-10-26,95707.875831604,43312.9889831543
2015-10-27,95773.80681610107,43312.9889831543
2015-10-28,95979.53614807129,43312.9889831543
2015-10-29,95939.61196899414,72704.90567016602
2015-10-30,95737.67288970947,47061.858459472656
2015-11-02,95768.31311035156,72867.86706542969
2015-11-03,95684.79260253906,46765.277603149414
2015-11-04,94903.26223754883,72618.8731842041
2015-11-05,94354.76908111572,53541.50302886963
2015-11-06,94384.59156036377,71854.15552520752
2015-11-09,94507.36219024658,53429.21263885498
2015-11-10,93141.48349761963,71020.12948226929
2015-11-13,93089.43147277832,52859.97953796387
2015-11-16,93146.70043945312,71145.6627998352
2015-11-17,93499.62209701538,60422.71780014038
2015-11-18,93698.84768295288,72631.52308273315
2015-11-19,93728.43636703491,60363.44942855835
2015-11-20,94145.26900863647,73112.02289199829
2015-11-23,94283.83028793335,60917.15462875366
2015-11-24,94562.13320541382,54343.759090423584
2015-11-26,94952.5979270935,61323.560039520264
2015-11-27,94848.89739608765,54533.13558578491
2015-11-30,94553.07542037964,61405.1255607605
2015-12-01,94828.7179069519,54661.11539840698
2015-12-02,95128.54711532593,61669.63299179077
2015-12-03,94809.95710372925,54726.53451156616
2015-12-04,94293.93525314331,53559.00944137573
2015-12-07,95177.03736877441,56819.41277694702
2015-12-08,94595.00596237183,53496.49712753296
2015-12-09,93674.3597869873,56633.663875579834
2015-12-10,94058.90674591064,53253.83092880249
2015-12-11,93662.4278793335,64606.69087982178
2015-12-14,94002.26461029053,48291.227909088135
2015-12-15,94775.00760269165,66619.33603286743
2015-12-16,94560.40243911743,48656.29641342163
2015-12-17,95472.45823287964,67448.26932907104
2015-12-18,95215.5916557312,48955.203758239746
2015-12-21,95423.9832611084,67749.6615447998
2015-12-22,95507.79405212402,49127.837787628174
2015-12-23,95750.74063873291,68030.0813369751
2015-12-24,95702.2073135376,49255.23432159424
2015-12-28,95604.66180801392,39545.81903839111
2015-12-29,95698.56121444702,39545.81903839111
2015-12-30,95520.16668701172,49207.50605010986
